Running simulation
You are using the legacy behaviour of the <class 'transformers.models.llama.tokenization_llama.LlamaTokenizer'>. This means that tokens that come after special tokens will not be properly handled. We recommend you to read the related pull request available at https://github.com/huggingface/transformers/pull/24565
Done loading model and tokenizer!
Done preprocessing dataset!
Volcanic agglomerate, volcanic breccia, tuff
Reward Logits:  tensor([2.2344], dtype=torch.bfloat16)
 #1: Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks can be divided into_________ Three categories.  [/INST] Pyroclastic rocks
Reward Logits:  tensor([-1.1641], dtype=torch.bfloat16)
gskhdlazdgtaddifjädf
Reward Logits:  tensor([1.0781], dtype=torch.bfloat16)
Done with first inference!
  0%|          | 0/33 [00:00<?, ?it/s]You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
/home/tu/tu_tu/tu_zxojp43/.local/lib/python3.9/site-packages/transformers/tokenization_utils_base.py:2411: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
/home/tu/tu_tu/tu_zxojp43/.local/lib/python3.9/site-packages/torch/utils/checkpoint.py:460: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/tu/tu_tu/tu_zxojp43/.local/lib/python3.9/site-packages/torch/utils/checkpoint.py:90: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
  3%|▎         | 1/33 [00:27<14:47, 27.73s/it]
  0%|          | 0/121 [00:00<?, ?it/s][A
  2%|▏         | 2/121 [00:00<00:49,  2.42it/s][A
  2%|▏         | 3/121 [00:01<01:09,  1.71it/s][A
  3%|▎         | 4/121 [00:02<01:19,  1.48it/s][A
  4%|▍         | 5/121 [00:03<01:24,  1.37it/s][A
  5%|▍         | 6/121 [00:04<01:27,  1.31it/s][A
  6%|▌         | 7/121 [00:04<01:29,  1.28it/s][A
  7%|▋         | 8/121 [00:05<01:30,  1.26it/s][A
  7%|▋         | 9/121 [00:06<01:30,  1.24it/s][A
  8%|▊         | 10/121 [00:07<01:30,  1.23it/s][A
  9%|▉         | 11/121 [00:08<01:29,  1.22it/s][A
 10%|▉         | 12/121 [00:09<01:29,  1.22it/s][A
 11%|█         | 13/121 [00:09<01:28,  1.22it/s][A
 12%|█▏        | 14/121 [00:10<01:28,  1.21it/s][A
 12%|█▏        | 15/121 [00:11<01:27,  1.21it/s][A
 13%|█▎        | 16/121 [00:12<01:26,  1.21it/s][A
 14%|█▍        | 17/121 [00:13<01:25,  1.21it/s][A
 15%|█▍        | 18/121 [00:14<01:25,  1.21it/s][A
 16%|█▌        | 19/121 [00:14<01:24,  1.21it/s][A
 17%|█▋        | 20/121 [00:15<01:23,  1.21it/s][A
 17%|█▋        | 21/121 [00:16<01:22,  1.21it/s][A
 18%|█▊        | 22/121 [00:17<01:21,  1.21it/s][A
 19%|█▉        | 23/121 [00:18<01:21,  1.21it/s][A
 20%|█▉        | 24/121 [00:19<01:20,  1.21it/s][A
 21%|██        | 25/121 [00:19<01:19,  1.21it/s][A
